WARD,DIVISION,BARACK   OBAMA - PRESIDENT AND VICE PRESIDENT OF THE UNITED S,BOB   BARR - PRESIDENT AND VICE PRESIDENT OF THE UNITED STATE,JOHN   MCCAIN - PRESIDENT AND VICE PRESIDENT OF THE UNITED ST,RALPH   NADER - PRESIDENT AND VICE PRESIDENT OF THE UNITED ST,MIKE   MUHAMMAD - REPRESENTATIVE IN CONGRESS 1ST DISTRICT,ROBERT A BRADY - REPRESENTATIVE IN CONGRESS 1ST DISTRICT,ADAM A LANG - REPRESENTATIVE IN CONGRESS 2ND DISTRICT,CHAKA   FATTAH - REPRESENTATIVE IN CONGRESS 2ND DISTRICT,PATRICK J MURPHY - REPRESENTATIVE IN CONGRESS 8TH DISTRICT,TOM   LINGENFELTER - REPRESENTATIVE IN CONGRESS 8TH DISTRICT,TOM   MANION - REPRESENTATIVE IN CONGRESS 8TH DISTRICT,ALLYSON   SCHWARTZ - REPRESENTATIVE IN CONGRESS 13TH DISTRICT,JOHN P MCDERMOTT - REPRESENTATIVE IN CONGRESS 13TH DISTRICT,MARINA   KATS - REPRESENTATIVE IN CONGRESS 13TH DISTRICT,JOHN M MORGANELLI - ATTORNEY GENERAL,MARAKAY J ROGERS - ATTORNEY GENERAL,TOM   CORBETT - ATTORNEY GENERAL,BETSY   SUMMERS - AUDITOR GENERAL,CHET   BEILER - AUDITOR GENERAL,JACK   WAGNER - AUDITOR GENERAL,BERLIE   ETZEL - STATE TREASURER,ROBERT   MCCORD - STATE TREASURER,TOM   ELLIS - STATE TREASURER,JACK   MORLEY - SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,LAWRENCE M FARNESE JR - SENATOR IN THE GENERAL ASSEMBLY 1ST D,ROBERT S NIX - SENATOR IN THE GENERAL ASSEMBLY 3RD DISTRICT,SHIRLEY M KITCHEN - SENATOR IN THE GENERAL ASSEMBLY 3RD DISTR,JOHN   FARLEY - SENATOR IN THE GENERAL ASSEMBLY 5TH DISTRICT,MIKE   STACK - SENATOR IN THE GENERAL ASSEMBLY 5TH DISTRICT,MARC   PERRY - SENATOR IN THE GENERAL ASSEMBLY 7TH DISTRICT,VINCENT J HUGHES - SENATOR IN THE GENERAL ASSEMBLY 7TH DISTRI,LISA   ROMANIELLO - REPRESENTATIVE IN THE GENERAL ASSEMBLY 15,THOMAS P MURT - REPRESENTATIVE IN THE GENERAL ASSEMBLY 152ND,LAWRENCE H CURRY - REPRESENTATIVE IN THE GENERAL ASSEMBLY 154,DENNIS M O BRIEN - REPRESENTATIVE IN THE GENERAL ASSEMBLY 169,BRENDAN F BOYLE - REPRESENTATIVE IN THE GENERAL ASSEMBLY 170T,MATT   TAUBENBERGER - REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN M PERZEL - REPRESENTATIVE IN THE GENERAL ASSEMBLY 172ND,RICHARD B COSTELLO - REPRESENTATIVE IN THE GENERAL ASSEMBLY 1,BELINDA C NELSON - REPRESENTATIVE IN THE GENERAL ASSEMBLY 173,MICHAEL PATRICK MCGEEHAN - REPRESENTATIVE IN THE GENERAL ASSE,JOHN P SABATINA JR - REPRESENTATIVE IN THE GENERAL ASSEMBLY 1,MICHAEL H O BRIEN - REPRESENTATIVE IN THE GENERAL ASSEMBLY 17,HARRY L ENGGASSER - REPRESENTATIVE IN THE GENERAL ASSEMBLY 17,JOHN J TAYLOR - REPRESENTATIVE IN THE GENERAL ASSEMBLY 177TH,TONY J PAYTON JR - REPRESENTATIVE IN THE GENERAL ASSEMBLY 179,WILLIAM   KENNEDY - REPRESENTATIVE IN THE GENERAL ASSEMBLY 17,ANGEL   CRUZ - REPRESENTATIVE IN THE GENERAL ASSEMBLY 180TH D,ERIK   SANCHEZ - REPRESENTATIVE IN THE GENERAL ASSEMBLY 180TH,W CURTIS   THOMAS - REPRESENTATIVE IN THE GENERAL ASSEMBLY 18,BABETTE   JOSEPHS - REPRESENTATIVE IN THE GENERAL ASSEMBLY 18,WALLY   ZIMOLONG - REPRESENTATIVE IN THE GENERAL ASSEMBLY 182,ANTHONY   BIONDO - REPRESENTATIVE IN THE GENERAL ASSEMBLY 184,WILLIAM F KELLER - REPRESENTATIVE IN THE GENERAL ASSEMBLY 184,KAMALAH K BROWN - REPRESENTATIVE IN THE GENERAL ASSEMBLY 185T,ROBERT C DONATUCCI - REPRESENTATIVE IN THE GENERAL ASSEMBLY 1,KENYATTA   JOHNSON - REPRESENTATIVE IN THE GENERAL ASSEMBLY 1,JAMES R ROEBUCK - REPRESENTATIVE IN THE GENERAL ASSEMBLY 188T,RAHIM   FOREMAN - REPRESENTATIVE IN THE GENERAL ASSEMBLY 190T,VANESSA L BROWN - REPRESENTATIVE IN THE GENERAL ASSEMBLY 190T,RONALD G WATERS - REPRESENTATIVE IN THE GENERAL ASSEMBLY 191S,LOUISE WILLIAMS BISHOP - REPRESENTATIVE IN THE GENERAL ASSEMB,KATHY   MANDERINO - REPRESENTATIVE IN THE GENERAL ASSEMBLY 19,THOMAS C ROLLAND - REPRESENTATIVE IN THE GENERAL ASSEMBLY 194,FRANK L OLIVER SR - REPRESENTATIVE IN THE GENERAL ASSEMBLY 19,W JAMES   KERNAGHAN - REPRESENTATIVE IN THE GENERAL ASSEMBLY,JEWELL   WILLIAMS - REPRESENTATIVE IN THE GENERAL ASSEMBLY 19,ROSITA C YOUNGBLOOD - REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHERELLE L PARKER - REPRESENTATIVE IN THE GENERAL ASSEMBLY 20,JOHN   MYERS - REPRESENTATIVE IN THE GENERAL ASSEMBLY 201ST D,JOSEPH L MESSA - REPRESENTATIVE IN THE GENERAL ASSEMBLY 201ST,MARK B COHEN - REPRESENTATIVE IN THE GENERAL ASSEMBLY 202ND D,DWIGHT   EVANS - REPRESENTATIVE IN THE GENERAL ASSEMBLY 203RD
1,1,218,4,104,1,50,247,,,,,,,,,195,8,87,7,59,214,8,208,64,86,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,247,,,,,,,,,,,,,,,,,,,
1,2,270,0,147,6,89,302,,,,,,,,,243,12,128,6,106,259,5,254,107,102,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,285,,,,,,,,,,,,,,,,,,,
1,3,285,0,162,9,78,332,,,,,,,,,276,10,125,9,89,298,7,306,99,100,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,349,,,,,,,,,,,,,,,,,,,
1,4,215,2,173,6,81,286,,,,,,,,,196,5,120,6,93,210,5,243,95,103,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,274,,,,,,,,,,,,,,,,,,,
1,5,164,1,68,1,41,167,,,,,,,,,147,4,53,3,43,157,4,147,46,47,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,162,,,,,,,,,,,,,,,,,,,
1,6,225,0,39,1,19,222,,,,,,,,,202,3,32,5,17,210,4,207,22,26,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,225,,,,,,,,,,,,,,,,,,,
1,7,229,0,56,2,33,246,,,,,,,,,217,1,37,1,35,222,1,220,37,34,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,223,,,,,,,,,,,,,,,,,,,
1,8,213,0,78,1,42,231,,,,,,,,,193,7,58,7,51,200,5,200,55,54,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,220,,,,,,,,,,,,,,,,,,,
1,9,237,0,111,1,63,248,,,,,,,,,191,7,108,4,73,223,4,226,75,95,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,247,,,,,,,,,,,,,,,,,,,
1,10,285,1,92,3,51,284,,,,,,,,,232,19,75,16,55,262,14,256,61,52,285,,,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,327,2,125,2,75,348,,,,,,,,,296,6,114,12,88,317,6,316,93,82,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,321,,,,,,,,,,,,,,,,,,,
1,12,250,1,42,3,45,214,,,,,,,,,201,3,51,6,46,205,4,210,49,46,224,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,310,0,62,4,45,298,,,,,,,,,277,8,55,7,47,286,5,293,48,51,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,294,,,,,,,,,,,,,,,,,,,
1,14,309,1,38,2,30,283,,,,,,,,,253,5,44,13,27,263,9,267,31,32,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,282,,,,,,,,,,,,,,,,,,,
1,15,431,0,97,3,56,437,,,,,,,,,369,17,100,18,64,398,14,405,67,67,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,438,,,,,,,,,,,,,,,,,,,
1,16,204,1,66,2,35,212,,,,,,,,,179,6,62,5,37,194,6,196,40,58,192,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,229,3,125,2,62,269,,,,,,,,,218,7,99,8,71,241,6,231,81,86,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,261,,,,,,,,,,,,,,,,,,,
1,18,293,2,141,6,64,352,,,,,,,,,303,8,100,9,66,335,7,321,81,135,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,353,,,,,,,,,,,,,,,,,,,
1,19,237,0,143,4,68,292,,,,,,,,,205,4,128,7,83,252,5,244,96,103,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,300,,,,,,,,,,,,,,,,,,,
1,20,325,0,105,6,51,367,,,,,,,,,315,10,83,8,55,340,6,335,60,87,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,355,,,,,,,,,,,,,,,,,,,
1,21,301,2,127,6,50,346,,,,,,,,,276,8,99,8,64,312,6,286,83,115,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,339,,,,,,,,,,,,,,,,,,,
2,1,378,0,144,4,93,405,,,,,,,,,311,12,166,11,107,364,10,345,125,137,358,,,,,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,260,0,49,4,43,238,,,,,,,,,217,9,54,10,42,228,9,221,48,58,228,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,222,1,75,1,44,230,,,,,,,,,202,9,59,10,46,206,7,203,57,52,225,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,282,0,124,0,65,310,,,,,,,,,268,6,96,6,74,287,4,283,82,66,314,,,,,,,,,,,,,,,,,,,,,,,,,,297,68,,,,,,,,,,,,,,,,,,,,,
2,5,292,0,110,1,75,285,,,,,,,,,244,13,95,10,74,262,8,254,77,77,290,,,,,,,,,,,,,,,,,,,,,,,,,,249,106,,,,,,,,,,,,,,,,,,,,,
2,6,309,0,86,4,63,302,,,,,,,,,271,11,82,9,64,288,8,280,73,74,292,,,,,,,,,,,,,,,,,,,,,,,,,,299,64,,,,,,,,,,,,,,,,,,,,,
2,7,363,2,105,2,76,360,,,,,,,,,308,13,105,14,70,339,9,334,78,73,362,,,,,,,,,,,,,,,,,,,,,,,,,,354,72,,,,,,,,,,,,,,,,,,,,,
2,8,228,0,53,2,32,219,,,,,,,,,183,7,56,11,36,195,6,196,37,37,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,
2,9,380,1,32,1,34,368,,,,,,,,,347,5,47,4,32,360,4,359,35,33,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,,,,,,
